date,고흥·녹동항,당진·삽교호,부산·광안리
2025-01-15,0.0,0.0,0.52026
2025-01-16,0.00447,0.00319,0.60271
2025-01-17,0.00319,0.00894,0.82578
2025-01-18,0.01086,0.02556,3.07239
2025-01-19,0.0,0.00447,0.78679
2025-01-20,0.00766,0.00319,0.63595
2025-01-21,0.00958,0.0,0.66343
2025-01-22,0.00703,0.0,0.83408
2025-01-23,0.01661,0.0,1.02263
2025-01-24,0.02876,0.00447,1.87845
2025-01-25,0.06008,0.00766,5.42381
2025-01-26,0.19366,0.00575,12.2985
2025-01-27,0.07925,0.00639,1.74104
2025-01-28,0.03515,0.00383,1.28277
2025-01-29,0.01661,0.00319,1.22716
2025-01-30,0.01278,0.00447,1.03286
2025-01-31,0.01214,0.0083,1.22397
2025-02-01,0.0115,0.01789,1.36394
2025-02-02,0.00575,0.0,1.10764
2025-02-03,0.00511,0.0,0.56436
2025-02-04,0.00703,0.0,0.54711
2025-02-05,0.0,0.0,0.52793
2025-02-06,0.0,0.0,0.56884
2025-02-07,0.0,0.0,0.73118
2025-02-08,0.00319,0.00575,2.6857
2025-02-09,0.00383,0.00319,0.46274
2025-02-10,0.00447,0.0,0.356
2025-02-11,0.0,0.0,0.54647
2025-02-12,0.0,0.00447,0.57779
2025-02-13,0.0,0.0,0.39818
2025-02-14,0.00958,0.00639,0.59313
2025-02-15,0.01022,0.01725,2.10855
2025-02-16,0.00575,0.00639,0.41544
2025-02-17,0.00383,0.00447,0.38221
2025-02-18,0.0,0.0,0.36687
2025-02-19,0.0,0.0,0.4001
2025-02-20,0.00383,0.0,0.42759
2025-02-21,0.0,0.0,0.50173
2025-02-22,0.01342,0.01342,1.81007
2025-02-23,0.00766,0.00319,0.43781
2025-02-24,0.0,0.00383,0.50301
2025-02-25,0.0083,0.0,0.51451
2025-02-26,0.0083,0.00639,0.57587
2025-02-27,0.0083,0.00383,0.71712
2025-02-28,0.00894,0.00766,1.12554
2025-03-01,0.01661,0.00575,2.78541
2025-03-02,0.00894,0.00703,0.51323
2025-03-03,0.00319,0.0,0.30934
2025-03-04,0.01214,0.0,0.26269
2025-03-05,0.00319,0.0,0.33874
2025-03-06,0.00703,0.00319,0.36495
2025-03-07,0.00575,0.0083,0.5503
2025-03-08,0.01406,0.02045,2.87744
2025-03-09,0.00894,0.00766,0.49406
2025-03-10,0.00575,0.00639,0.3413
2025-03-11,0.01661,0.0,0.38093
2025-03-12,0.00447,0.0,0.3886
2025-03-13,0.00447,0.00383,0.39243
2025-03-14,0.00447,0.01214,0.56948
2025-03-15,0.01278,0.01917,1.08271
2025-03-16,0.00447,0.00383,0.36431
2025-03-17,0.00383,0.00703,0.32532
2025-03-18,0.0115,0.0,0.34833
2025-03-19,0.00319,0.0,0.356
2025-03-20,0.00958,0.00639,0.41864
2025-03-21,0.01597,0.01022,0.6449
2025-03-22,0.02364,0.03387,3.68469
2025-03-23,0.00894,0.00894,0.54008
2025-03-24,0.02237,0.00383,0.4506
2025-03-25,0.01342,0.00383,0.38348
2025-03-26,0.01214,0.00703,0.35344
2025-03-27,0.01086,0.01086,0.38093
